	host species	locality	season	year	case	Dper	Dcon	Fgib	Scep	Sacsp	Scur	Sobe	Sten	Sbra	Hben	Hspl	Sspa	Lput	Lesp	Leco	Spap	Sdim	Smin	Aadr	Nper	Cbio	Lmed	Lcep	Lcha	Limi	Lszi	Lcon	Lvan	Mcep	Erge
3CEDS22	Mc	EDS	S	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	17	0	3	8	1	0	0	0	0	0	0
3CEDS23	Mc	EDS	S	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	47	0	5	5	2	0	0	0	0	0	0
3CEDS24	Mc	EDS	S	2005	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	69	0	25	7	7	0	0	0	0	0	0
3CEDS25	Mc	EDS	S	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	18	0	11	2	29	0	0	0	0	0	0
3CEDS26	Mc	EDS	S	2005	2	3	0	0	17	1	0	0	0	0	0	0	0	0	6	0	0	5	0	0	34	0	2	3	2	0	0	0	0	0	0
3CEDS27	Mc	EDS	S	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	95	0	12	17	13	0	0	0	0	0	0
3CEDS28	Mc	EDS	S	2005	2	1	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	5	5	0	72	0	42	25	38	0	0	0	0	1	0
4CEDS01	Mc	EDS	A	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	24	84	13	0	0	0	0	1	0
4CEDS02	Mc	EDS	A	2005	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
4CEDS03	Mc	EDS	A	2005	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	3	0	2	7	1	0	0	0	0	0	0
